FAIL credenciales/defaults hardcodeados:
('audit_kpis_junio_2026.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("CIENFUEGOS_DB_USER", "sa")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("130MID_DB_USER", "sa")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("ESTELAR_DB_USER", "sa")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("130QRO_DB_USER", "HRLectura")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("130QRO_DB_PASS", "National09$")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("ORIGEN_DB_USER", "HRLectura")')
('auditoria_unidades_hardcodeadas.txt', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("ORIGEN_DB_PASS", "National09$")')
('modules/comercial/adapters.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_ORIGEN_URL", "http://54.39.104.176:8000/query")')
('modules/comercial/adapters.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_KEY", "EDARSA_2026_SECURE_KEY")')
('modules/comercial/adapters.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_QRO_URL", "http://54.39.104.176:8001/query")')
('modules/comercial/adapters.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_KEY", "EDARSA_2026_SECURE_KEY")')
('modules/comercial/adapters.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_ORIGEN_URL", "http://54.39.104.176:8000/query")')
('modules/comercial/adapters.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_QRO_URL", "http://54.39.104.176:8001/query")')
('modules/comercial/adapters.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("API_MPRO_KEY", "EDARSA_2026_SECURE_KEY")')
('modules/fase2_operativo/db_utils.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('DB_NAME', 'test_database')")
('modules/fase2_operativo/services/email_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_ENABLED', 'true')")
('modules/fase2_operativo/services/email_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_PORT', '587')")
('modules/fase2_operativo/services/email_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_USE_TLS', 'true')")
('modules/fase2_operativo/services/email_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_FROM_NAME', 'EDARSA HUB')")
('modules/configuracion/routes/config_asignaciones_routes.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('DB_NAME', 'edarsa_hub')")
('modules/auth/password_reset.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("EMAIL_HOST", "mail.edarsa.com.mx")')
('modules/auth/password_reset.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("EMAIL_FROM", "notificaciones@edarsa.com.mx")')
('modules/auth/password_reset.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("EMAIL_FROM_NAME", "EDARSA HUB")')
('modules/auth/password_reset.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("EMAIL_USE_TLS", "true")')
('modules/auth/routes.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("FRONTEND_URL", "https://stock-tracker-990.preview.emergentagent.')
('modules/comercial_v2/feature_flag.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("COMERCIAL_V2_ENABLED", "false")')
('modules/comercial_v2/feature_flag.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("COMERCIAL_V2_ENABLED", "false")')
('modules/crm/vtiger_routes.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('VTIGER_NAME', 'Vtiger CRM (ENV)')")
('modules/crm/vtiger_routes.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_VTIGER_SYNC_INTERVAL_SECONDS", "900")')
('modules/crm/vtiger_routes.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("SCHEDULER_VTIGER_SYNC_ENABLED", "true")')
('modules/crm/vtiger_client.py', '(username|user)\\s*=\\s*[\'\\"][^\'\\"]+[\'\\"]', 'username="admin"')
('modules/finanzas/sql_subprocess_helper.py', '(password|pwd|secret|token)\\s*=\\s*[\'\\"][^\'\\"]+[\'\\"]', "password='secret'")
('modules/finanzas/sql_subprocess_helper.py', '(username|user)\\s*=\\s*[\'\\"][^\'\\"]+[\'\\"]', "username='user'")
('modules/finanzas/repository_cuadres_z.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('DB_NAME', 'edarsahub')")
('modules/cava_socios/notification_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_HOST', 'mail.edarsa.com.mx')")
('modules/cava_socios/notification_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_PORT', '587')")
('modules/cava_socios/notification_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_FROM_NAME', 'EDARSA HUB')")
('modules/cava_socios/notification_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_USE_TLS', 'true')")
('modules/cava_socios/notification_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_ENABLED', 'true')")
('modules/cava_socios/notification_service.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('WHATSAPP_ENABLED', 'true')")
('modules/compras/eventos_compras.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('COMPRAS_POLLING_INTERVAL', '120')")
('scripts/correccion_sistema_menus_y_fallbacks.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/backfill_sync_precios_historicos_from_productos.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.getenv('EDARSAHUB_SQL_PORT', '1433')")
('scripts/consultar_cache_finops.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/p3_01f_validate_patch_compras_no_live.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/create_cava_socios_rbac.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_PORT', '1433')")
('scripts/create_cava_socios_rbac.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/create_cava_socios_tables.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_PORT', '1433')")
('scripts/create_cava_socios_tables.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/p3_07b_poblar_costo_receta_sqlfirst.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT","1433")')
('scripts/validate_catalogo_sistemas_endpoints.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('API_URL', 'https://g0049-ldnv-u959.preview.emergentagent.com')")
('scripts/validate_catalogo_sistemas_endpoints.py', '(password|pwd|secret|token)\\s*=\\s*[\'\\"][^\'\\"]+[\'\\"]', 'PASSWORD = "<TEST_PASSWORD>"')
('scripts/p3_01_sync_compras_dryrun.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/update_proyeccion_con_funcion.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/p2_13_audit_precios_constantes_lookup.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/p3_01c_bloqueo_compras_sin_live.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/create_crm_automation_tables.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/seed_inteligencia_demo.py', 'EDARSAHUB_HOST\\s*=', 'EDARSAHUB_HOST =')
('scripts/sync_response_cache_finops.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/validate_consultas_sql_endpoints_fase_4b.py', '(password|pwd|secret|token)\\s*=\\s*[\'\\"][^\'\\"]+[\'\\"]', 'password = "password"')
('scripts/p3_02_analisis_sync_monitor.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/create_tablajeria_rbac.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_PORT', '1433')")
('scripts/create_tablajeria_rbac.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/p3_01c_sync_compras_detalle_dryrun.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/seed_ventas_consolidadas.py', 'EDARSAHUB_PASSWORD\\s*=', 'EDARSAHUB_PASSWORD=')
('scripts/audit_sync_precios_historicos_dryrun.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.getenv('EDARSAHUB_SQL_PORT', '1433')")
('scripts/p2_11_auditar_unidades_servidores.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/p3_01b_analizar_sync_purchases.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.getenv("EDARSAHUB_SQL_PORT", "1433")')
('scripts/actualizacion_kpi_proyeccion_comercial.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_HOST', '187.188.198.241')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_PORT', '51741')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_DB', 'Abordo')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_USER', 'sa')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_CIENFUEGOS_PASS', 'Sr2022$')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_HOST', '187.188.198.241')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_PORT', '51742')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_DB', 'Bordo')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_USER', 'sa')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_ESTELAR_PASS', 'Sr2022$')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_HOST', '187.188.198.241')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_PORT', '51743')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_DB', 'Abordo')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_USER', 'sa')")
('scripts/validacion_propinas_tpv.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('SOFTREST_130MID_PASS', 'Sr2022$')")
('scripts/backfill_cienfuegos_mayo_2026.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/backfill_cienfuegos_mayo_2026.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/backfill_cienfuegos_mayo_2026.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSAHUB_DATABASE', 'EDARSAHUB')")
('scripts/paquete_piloto_sync_agent/GUIA_PILOTO.md', '(password|pwd|secret|token)\\s*=\\s*[\'\\"][^\'\\"]+[\'\\"]', 'PASSWORD="TU_PASSWORD"')
('tests/test_automatizacion_compras_fase4.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('REACT_APP_BACKEND_URL', 'https://stock-tracker-990.preview.emerg")
('tests/test_catalogos_rrhh.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('REACT_APP_BACKEND_URL', 'https://stock-tracker-990.preview.emerg")
('tests/test_config_asignaciones.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('REACT_APP_BACKEND_URL', 'https://stock-tracker-990.preview.emerg")
('tests/test_permissions_v5.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("TEST_NOXTE_EMAIL", "noxte@alpyc.com")')
('tests/test_core_db.py', '(username|user)\\s*=\\s*[\'\\"][^\'\\"]+[\'\\"]', 'username="user"')
('tests/test_scheduler_ui.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('REACT_APP_BACKEND_URL', 'https://stock-tracker-990.preview.emerg")
('tests/test_scheduler_ui.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', 'os.environ.get("TEST_SCHEDULER_OPERADOR_EMAIL", "operador.test@edarsa.com")')
('tests/test_smtp_neubox.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EMAIL_PORT', '587')")
('tests/test_rh_modular.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('REACT_APP_BACKEND_URL', 'https://stock-tracker-990.preview.emerg")
('tests/test_rbac_fase2d.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.getenv('TEST_OPERADOR_EMAIL', 'operador.test@edarsa.com')")
('tests/test_rbac_fase2d.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.getenv('TEST_OPERADOR_PASSWORD', 'OperadorTest2024!')")
('tests/test_email_notifications.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.getenv('TEST_RBAC_ADMIN_EMAIL', 'admin.rbac.test@edarsa.com')")
('tests/test_email_notifications.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.getenv('TEST_RBAC_ADMIN_PASSWORD', 'AdminRBAC2024!')")
('api/admin_scheduler_resync.py', 'os\\.getenv\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.getenv('EDARSAHUB_SQL_PORT', '1433')")
('core/server_registry.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('USE_SQL_FOR_SERVERS', 'true')")
('core/auditoria.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('DB_NAME', 'edarsa_hub')")
('core/auditoria.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSA_HUB_SQL_PORT', '1433')")
('core/auditoria.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSA_HUB_SQL_DB', 'EDARSA_HUB')")
('core/auditoria.py', 'os\\.environ\\.get\\([^,\\)]*,\\s*[\'\\"][^\'\\"]+[\'\\"]\\)', "os.environ.get('EDARSA_HUB_SQL_USER', 'sa')")
