requirements_file,component,line,name,normalized_name,specifier,marker,status,installed_versions,raw
backend/requirements.txt,BACKEND_MAIN,11,beautifulsoup4,beautifulsoup4,==4.15.0,,DECLARED_NOT_INSTALLED,,beautifulsoup4==4.15.0
backend/requirements.txt,BACKEND_MAIN,12,black,black,==26.1.0,,DECLARED_NOT_INSTALLED,,black==26.1.0
backend/requirements.txt,BACKEND_MAIN,13,boto3,boto3,==1.42.58,,DECLARED_NOT_INSTALLED,,boto3==1.42.58
backend/requirements.txt,BACKEND_MAIN,14,botocore,botocore,==1.42.58,,DECLARED_NOT_INSTALLED,,botocore==1.42.58
backend/requirements.txt,BACKEND_MAIN,15,certifi,certifi,==2026.2.25,,DECLARED_NOT_INSTALLED,,certifi==2026.2.25
backend/requirements.txt,BACKEND_MAIN,16,cffi,cffi,==2.0.0,,DECLARED_NOT_INSTALLED,,cffi==2.0.0
backend/requirements.txt,BACKEND_MAIN,17,charset-normalizer,charset-normalizer,==3.4.4,,DECLARED_NOT_INSTALLED,,charset-normalizer==3.4.4
backend/requirements.txt,BACKEND_MAIN,18,click,click,==8.3.1,,DECLARED_NOT_INSTALLED,,click==8.3.1
backend/requirements.txt,BACKEND_MAIN,19,cryptography,cryptography,==46.0.5,,DECLARED_NOT_INSTALLED,,cryptography==46.0.5
backend/requirements.txt,BACKEND_MAIN,20,DBUtils,dbutils,==3.1.2,,DECLARED_NOT_INSTALLED,,DBUtils==3.1.2
backend/requirements.txt,BACKEND_MAIN,21,distro,distro,==1.9.0,,DECLARED_NOT_INSTALLED,,distro==1.9.0
backend/requirements.txt,BACKEND_MAIN,22,dnspython,dnspython,==2.8.0,,DECLARED_NOT_INSTALLED,,dnspython==2.8.0
backend/requirements.txt,BACKEND_MAIN,23,ecdsa,ecdsa,==0.19.1,,DECLARED_NOT_INSTALLED,,ecdsa==0.19.1
backend/requirements.txt,BACKEND_MAIN,24,email-validator,email-validator,==2.3.0,,DECLARED_NOT_INSTALLED,,email-validator==2.3.0
backend/requirements.txt,BACKEND_MAIN,25,emergentintegrations,emergentintegrations,==0.1.0,,DECLARED_NOT_INSTALLED,,emergentintegrations==0.1.0
backend/requirements.txt,BACKEND_MAIN,26,et_xmlfile,et-xmlfile,==2.0.0,,DECLARED_NOT_INSTALLED,,et_xmlfile==2.0.0
backend/requirements.txt,BACKEND_MAIN,27,fastapi,fastapi,==0.110.1,,DECLARED_NOT_INSTALLED,,fastapi==0.110.1
backend/requirements.txt,BACKEND_MAIN,28,fastuuid,fastuuid,==0.14.0,,DECLARED_NOT_INSTALLED,,fastuuid==0.14.0
backend/requirements.txt,BACKEND_MAIN,29,filelock,filelock,==3.25.0,,DECLARED_NOT_INSTALLED,,filelock==3.25.0
backend/requirements.txt,BACKEND_MAIN,30,flake8,flake8,==7.3.0,,DECLARED_NOT_INSTALLED,,flake8==7.3.0
backend/requirements.txt,BACKEND_MAIN,31,frozenlist,frozenlist,==1.8.0,,DECLARED_NOT_INSTALLED,,frozenlist==1.8.0
backend/requirements.txt,BACKEND_MAIN,32,fsspec,fsspec,==2026.2.0,,DECLARED_NOT_INSTALLED,,fsspec==2026.2.0
backend/requirements.txt,BACKEND_MAIN,33,git-filter-repo,git-filter-repo,==2.47.0,,DECLARED_NOT_INSTALLED,,git-filter-repo==2.47.0
backend/requirements.txt,BACKEND_MAIN,34,google-ai-generativelanguage,google-ai-generativelanguage,==0.6.15,,DECLARED_NOT_INSTALLED,,google-ai-generativelanguage==0.6.15
backend/requirements.txt,BACKEND_MAIN,35,google-api-core,google-api-core,==2.30.0,,DECLARED_NOT_INSTALLED,,google-api-core==2.30.0
backend/requirements.txt,BACKEND_MAIN,36,google-api-python-client,google-api-python-client,==2.191.0,,DECLARED_NOT_INSTALLED,,google-api-python-client==2.191.0
backend/requirements.txt,BACKEND_MAIN,37,google-auth,google-auth,==2.49.0.dev0,,DECLARED_NOT_INSTALLED,,google-auth==2.49.0.dev0
backend/requirements.txt,BACKEND_MAIN,38,google-auth-httplib2,google-auth-httplib2,==0.3.0,,DECLARED_NOT_INSTALLED,,google-auth-httplib2==0.3.0
backend/requirements.txt,BACKEND_MAIN,39,google-genai,google-genai,==1.65.0,,DECLARED_NOT_INSTALLED,,google-genai==1.65.0
backend/requirements.txt,BACKEND_MAIN,40,google-generativeai,google-generativeai,==0.8.6,,DECLARED_NOT_INSTALLED,,google-generativeai==0.8.6
backend/requirements.txt,BACKEND_MAIN,41,googleapis-common-protos,googleapis-common-protos,==1.72.0,,DECLARED_NOT_INSTALLED,,googleapis-common-protos==1.72.0
backend/requirements.txt,BACKEND_MAIN,42,greenlet,greenlet,==3.5.1,,INSTALLED_VERSION_DIFFERS,3.5.3,greenlet==3.5.1
backend/requirements.txt,BACKEND_MAIN,43,grpcio,grpcio,==1.78.0,,DECLARED_NOT_INSTALLED,,grpcio==1.78.0
backend/requirements.txt,BACKEND_MAIN,44,grpcio-status,grpcio-status,==1.71.2,,DECLARED_NOT_INSTALLED,,grpcio-status==1.71.2
backend/requirements.txt,BACKEND_MAIN,45,h11,h11,==0.16.0,,DECLARED_NOT_INSTALLED,,h11==0.16.0
backend/requirements.txt,BACKEND_MAIN,46,hf-xet,hf-xet,==1.3.2,,DECLARED_NOT_INSTALLED,,hf-xet==1.3.2
backend/requirements.txt,BACKEND_MAIN,47,httpcore,httpcore,==1.0.9,,DECLARED_NOT_INSTALLED,,httpcore==1.0.9
backend/requirements.txt,BACKEND_MAIN,48,httplib2,httplib2,==0.31.2,,DECLARED_NOT_INSTALLED,,httplib2==0.31.2
backend/requirements.txt,BACKEND_MAIN,49,httpx,httpx,==0.28.1,,DECLARED_NOT_INSTALLED,,httpx==0.28.1
backend/requirements.txt,BACKEND_MAIN,50,huggingface_hub,huggingface-hub,==1.5.0,,DECLARED_NOT_INSTALLED,,huggingface_hub==1.5.0
backend/requirements.txt,BACKEND_MAIN,51,idna,idna,==3.11,,DECLARED_NOT_INSTALLED,,idna==3.11
backend/requirements.txt,BACKEND_MAIN,52,importlib_metadata,importlib-metadata,==8.7.1,,DECLARED_NOT_INSTALLED,,importlib_metadata==8.7.1
backend/requirements.txt,BACKEND_MAIN,53,iniconfig,iniconfig,==2.3.0,,DECLARED_NOT_INSTALLED,,iniconfig==2.3.0
backend/requirements.txt,BACKEND_MAIN,54,isort,isort,==8.0.0,,DECLARED_NOT_INSTALLED,,isort==8.0.0
backend/requirements.txt,BACKEND_MAIN,55,Jinja2,jinja2,==3.1.6,,DECLARED_NOT_INSTALLED,,Jinja2==3.1.6
backend/requirements.txt,BACKEND_MAIN,56,jiter,jiter,==0.13.0,,DECLARED_NOT_INSTALLED,,jiter==0.13.0
backend/requirements.txt,BACKEND_MAIN,57,jmespath,jmespath,==1.1.0,,DECLARED_NOT_INSTALLED,,jmespath==1.1.0
backend/requirements.txt,BACKEND_MAIN,58,jq,jq,==1.11.0,,DECLARED_NOT_INSTALLED,,jq==1.11.0
backend/requirements.txt,BACKEND_MAIN,59,jsonschema,jsonschema,==4.26.0,,DECLARED_NOT_INSTALLED,,jsonschema==4.26.0
backend/requirements.txt,BACKEND_MAIN,60,jsonschema-specifications,jsonschema-specifications,==2025.9.1,,DECLARED_NOT_INSTALLED,,jsonschema-specifications==2025.9.1
backend/requirements.txt,BACKEND_MAIN,61,librt,librt,==0.8.1,,DECLARED_NOT_INSTALLED,,librt==0.8.1
backend/requirements.txt,BACKEND_MAIN,62,litellm,litellm,==1.80.0,,DECLARED_NOT_INSTALLED,,litellm==1.80.0
backend/requirements.txt,BACKEND_MAIN,63,lxml,lxml,==6.1.1,,DECLARED_NOT_INSTALLED,,lxml==6.1.1
backend/requirements.txt,BACKEND_MAIN,64,markdown-it-py,markdown-it-py,==4.0.0,,DECLARED_NOT_INSTALLED,,markdown-it-py==4.0.0
backend/requirements.txt,BACKEND_MAIN,65,MarkupSafe,markupsafe,==3.0.3,,DECLARED_NOT_INSTALLED,,MarkupSafe==3.0.3
backend/requirements.txt,BACKEND_MAIN,66,mccabe,mccabe,==0.7.0,,DECLARED_NOT_INSTALLED,,mccabe==0.7.0
backend/requirements.txt,BACKEND_MAIN,67,mdurl,mdurl,==0.1.2,,DECLARED_NOT_INSTALLED,,mdurl==0.1.2
backend/requirements.txt,BACKEND_MAIN,68,multidict,multidict,==6.7.1,,DECLARED_NOT_INSTALLED,,multidict==6.7.1
backend/requirements.txt,BACKEND_MAIN,69,mypy,mypy,==1.19.1,,DECLARED_NOT_INSTALLED,,mypy==1.19.1
backend/requirements.txt,BACKEND_MAIN,70,mypy_extensions,mypy-extensions,==1.1.0,,DECLARED_NOT_INSTALLED,,mypy_extensions==1.1.0
backend/requirements.txt,BACKEND_MAIN,71,numpy,numpy,==2.4.2,,DECLARED_NOT_INSTALLED,,numpy==2.4.2
backend/requirements.txt,BACKEND_MAIN,72,oauthlib,oauthlib,==3.3.1,,DECLARED_NOT_INSTALLED,,oauthlib==3.3.1
backend/requirements.txt,BACKEND_MAIN,73,openai,openai,==1.99.9,,DECLARED_NOT_INSTALLED,,openai==1.99.9
backend/requirements.txt,BACKEND_MAIN,74,openpyxl,openpyxl,==3.1.5,,DECLARED_NOT_INSTALLED,,openpyxl==3.1.5
backend/requirements.txt,BACKEND_MAIN,75,packaging,packaging,==26.0,,INSTALLED_VERSION_DIFFERS,26.2,packaging==26.0
backend/requirements.txt,BACKEND_MAIN,76,pandas,pandas,==3.0.1,,DECLARED_NOT_INSTALLED,,pandas==3.0.1
backend/requirements.txt,BACKEND_MAIN,77,passlib,passlib,==1.7.4,,DECLARED_NOT_INSTALLED,,passlib==1.7.4
backend/requirements.txt,BACKEND_MAIN,78,pathspec,pathspec,==1.0.4,,DECLARED_NOT_INSTALLED,,pathspec==1.0.4
backend/requirements.txt,BACKEND_MAIN,79,pillow,pillow,==12.1.1,,DECLARED_NOT_INSTALLED,,pillow==12.1.1
backend/requirements.txt,BACKEND_MAIN,80,platformdirs,platformdirs,==4.9.2,,DECLARED_NOT_INSTALLED,,platformdirs==4.9.2
backend/requirements.txt,BACKEND_MAIN,81,pluggy,pluggy,==1.6.0,,DECLARED_NOT_INSTALLED,,pluggy==1.6.0
backend/requirements.txt,BACKEND_MAIN,82,propcache,propcache,==0.4.1,,DECLARED_NOT_INSTALLED,,propcache==0.4.1
backend/requirements.txt,BACKEND_MAIN,83,proto-plus,proto-plus,==1.27.1,,DECLARED_NOT_INSTALLED,,proto-plus==1.27.1
backend/requirements.txt,BACKEND_MAIN,84,protobuf,protobuf,==5.29.6,,DECLARED_NOT_INSTALLED,,protobuf==5.29.6
backend/requirements.txt,BACKEND_MAIN,85,pyasn1,pyasn1,==0.6.2,,DECLARED_NOT_INSTALLED,,pyasn1==0.6.2
backend/requirements.txt,BACKEND_MAIN,86,pyasn1_modules,pyasn1-modules,==0.4.2,,DECLARED_NOT_INSTALLED,,pyasn1_modules==0.4.2
backend/requirements.txt,BACKEND_MAIN,87,pycodestyle,pycodestyle,==2.14.0,,DECLARED_NOT_INSTALLED,,pycodestyle==2.14.0
backend/requirements.txt,BACKEND_MAIN,88,pycparser,pycparser,==3.0,,DECLARED_NOT_INSTALLED,,pycparser==3.0
backend/requirements.txt,BACKEND_MAIN,89,pydantic,pydantic,==2.12.5,,DECLARED_NOT_INSTALLED,,pydantic==2.12.5
backend/requirements.txt,BACKEND_MAIN,90,pydantic_core,pydantic-core,==2.41.5,,DECLARED_NOT_INSTALLED,,pydantic_core==2.41.5
backend/requirements.txt,BACKEND_MAIN,91,pyflakes,pyflakes,==3.4.0,,DECLARED_NOT_INSTALLED,,pyflakes==3.4.0
backend/requirements.txt,BACKEND_MAIN,92,Pygments,pygments,==2.19.2,,DECLARED_NOT_INSTALLED,,Pygments==2.19.2
backend/requirements.txt,BACKEND_MAIN,93,PyJWT,pyjwt,==2.11.0,,DECLARED_NOT_INSTALLED,,PyJWT==2.11.0
backend/requirements.txt,BACKEND_MAIN,94,pymssql,pymssql,==2.3.13,,DECLARED_NOT_INSTALLED,,pymssql==2.3.13
backend/requirements.txt,BACKEND_MAIN,95,pyodbc,pyodbc,==5.3.0,,DECLARED_NOT_INSTALLED,,pyodbc==5.3.0
backend/requirements.txt,BACKEND_MAIN,96,pyparsing,pyparsing,==3.3.2,,DECLARED_NOT_INSTALLED,,pyparsing==3.3.2
backend/requirements.txt,BACKEND_MAIN,97,pytest,pytest,==9.0.2,,DECLARED_NOT_INSTALLED,,pytest==9.0.2
backend/requirements.txt,BACKEND_MAIN,98,pytest-asyncio,pytest-asyncio,==1.4.0,,DECLARED_NOT_INSTALLED,,pytest-asyncio==1.4.0
backend/requirements.txt,BACKEND_MAIN,99,python-dateutil,python-dateutil,==2.9.0.post0,,DECLARED_NOT_INSTALLED,,python-dateutil==2.9.0.post0
backend/requirements.txt,BACKEND_MAIN,100,python-docx,python-docx,==1.2.0,,DECLARED_NOT_INSTALLED,,python-docx==1.2.0
backend/requirements.txt,BACKEND_MAIN,101,python-dotenv,python-dotenv,==1.2.1,,DECLARED_NOT_INSTALLED,,python-dotenv==1.2.1
backend/requirements.txt,BACKEND_MAIN,102,python-http-client,python-http-client,==3.3.7,,DECLARED_NOT_INSTALLED,,python-http-client==3.3.7
backend/requirements.txt,BACKEND_MAIN,103,python-jose,python-jose,==3.5.0,,DECLARED_NOT_INSTALLED,,python-jose==3.5.0
backend/requirements.txt,BACKEND_MAIN,104,python-multipart,python-multipart,==0.0.22,,DECLARED_NOT_INSTALLED,,python-multipart==0.0.22
backend/requirements.txt,BACKEND_MAIN,105,python-tds,python-tds,==1.17.1,,DECLARED_NOT_INSTALLED,,python-tds==1.17.1
backend/requirements.txt,BACKEND_MAIN,106,pytokens,pytokens,==0.4.1,,DECLARED_NOT_INSTALLED,,pytokens==0.4.1
backend/requirements.txt,BACKEND_MAIN,107,pytz,pytz,==2026.2,,DECLARED_NOT_INSTALLED,,pytz==2026.2
backend/requirements.txt,BACKEND_MAIN,108,PyYAML,pyyaml,==6.0.3,,DECLARED_NOT_INSTALLED,,PyYAML==6.0.3
backend/requirements.txt,BACKEND_MAIN,109,referencing,referencing,==0.37.0,,DECLARED_NOT_INSTALLED,,referencing==0.37.0
backend/requirements.txt,BACKEND_MAIN,110,regex,regex,==2026.2.28,,DECLARED_NOT_INSTALLED,,regex==2026.2.28
backend/requirements.txt,BACKEND_MAIN,111,reportlab,reportlab,==4.4.10,,DECLARED_NOT_INSTALLED,,reportlab==4.4.10
backend/requirements.txt,BACKEND_MAIN,112,requests,requests,==2.32.5,,DECLARED_NOT_INSTALLED,,requests==2.32.5
backend/requirements.txt,BACKEND_MAIN,113,requests-oauthlib,requests-oauthlib,==2.0.0,,DECLARED_NOT_INSTALLED,,requests-oauthlib==2.0.0
backend/requirements.txt,BACKEND_MAIN,114,rich,rich,==14.3.3,,DECLARED_NOT_INSTALLED,,rich==14.3.3
backend/requirements.txt,BACKEND_MAIN,115,rpds-py,rpds-py,==0.30.0,,DECLARED_NOT_INSTALLED,,rpds-py==0.30.0
backend/requirements.txt,BACKEND_MAIN,116,rsa,rsa,==4.9.1,,DECLARED_NOT_INSTALLED,,rsa==4.9.1
backend/requirements.txt,BACKEND_MAIN,117,s3transfer,s3transfer,==0.16.0,,DECLARED_NOT_INSTALLED,,s3transfer==0.16.0
backend/requirements.txt,BACKEND_MAIN,118,s5cmd,s5cmd,==0.2.0,,DECLARED_NOT_INSTALLED,,s5cmd==0.2.0
backend/requirements.txt,BACKEND_MAIN,119,sendgrid,sendgrid,==6.12.5,,DECLARED_NOT_INSTALLED,,sendgrid==6.12.5
backend/requirements.txt,BACKEND_MAIN,120,shellingham,shellingham,==1.5.4,,DECLARED_NOT_INSTALLED,,shellingham==1.5.4
backend/requirements.txt,BACKEND_MAIN,121,six,six,==1.17.0,,DECLARED_NOT_INSTALLED,,six==1.17.0
backend/requirements.txt,BACKEND_MAIN,122,sniffio,sniffio,==1.3.1,,DECLARED_NOT_INSTALLED,,sniffio==1.3.1
backend/requirements.txt,BACKEND_MAIN,123,soupsieve,soupsieve,==2.8.4,,DECLARED_NOT_INSTALLED,,soupsieve==2.8.4
backend/requirements.txt,BACKEND_MAIN,124,SQLAlchemy,sqlalchemy,==2.0.50,,DECLARED_NOT_INSTALLED,,SQLAlchemy==2.0.50
backend/requirements.txt,BACKEND_MAIN,125,starlette,starlette,==0.37.2,,DECLARED_NOT_INSTALLED,,starlette==0.37.2
backend/requirements.txt,BACKEND_MAIN,126,stripe,stripe,==14.4.0,,DECLARED_NOT_INSTALLED,,stripe==14.4.0
backend/requirements.txt,BACKEND_MAIN,127,tenacity,tenacity,==9.1.4,,DECLARED_NOT_INSTALLED,,tenacity==9.1.4
backend/requirements.txt,BACKEND_MAIN,128,tiktoken,tiktoken,==0.12.0,,DECLARED_NOT_INSTALLED,,tiktoken==0.12.0
backend/requirements.txt,BACKEND_MAIN,129,tokenizers,tokenizers,==0.22.2,,DECLARED_NOT_INSTALLED,,tokenizers==0.22.2
backend/requirements.txt,BACKEND_MAIN,130,tqdm,tqdm,==4.67.3,,DECLARED_NOT_INSTALLED,,tqdm==4.67.3
backend/requirements.txt,BACKEND_MAIN,131,twilio,twilio,==9.10.9,,DECLARED_NOT_INSTALLED,,twilio==9.10.9
backend/requirements.txt,BACKEND_MAIN,132,typer,typer,==0.24.1,,DECLARED_NOT_INSTALLED,,typer==0.24.1
backend/requirements.txt,BACKEND_MAIN,133,typing-inspection,typing-inspection,==0.4.2,,DECLARED_NOT_INSTALLED,,typing-inspection==0.4.2
backend/requirements.txt,BACKEND_MAIN,134,typing_extensions,typing-extensions,==4.15.0,,INSTALLED_VERSION_DIFFERS,4.16.0,typing_extensions==4.15.0
backend/requirements.txt,BACKEND_MAIN,135,tzdata,tzdata,==2025.3,,DECLARED_NOT_INSTALLED,,tzdata==2025.3
backend/requirements.txt,BACKEND_MAIN,136,tzlocal,tzlocal,==5.3.1,,DECLARED_NOT_INSTALLED,,tzlocal==5.3.1
backend/requirements.txt,BACKEND_MAIN,137,uritemplate,uritemplate,==4.2.0,,DECLARED_NOT_INSTALLED,,uritemplate==4.2.0
backend/requirements.txt,BACKEND_MAIN,138,urllib3,urllib3,==2.6.3,,DECLARED_NOT_INSTALLED,,urllib3==2.6.3
backend/requirements.txt,BACKEND_MAIN,139,uvicorn,uvicorn,==0.25.0,,DECLARED_NOT_INSTALLED,,uvicorn==0.25.0
backend/requirements.txt,BACKEND_MAIN,140,watchfiles,watchfiles,==1.1.1,,DECLARED_NOT_INSTALLED,,watchfiles==1.1.1
backend/requirements.txt,BACKEND_MAIN,141,websockets,websockets,==16.0,,DECLARED_NOT_INSTALLED,,websockets==16.0
backend/requirements.txt,BACKEND_MAIN,142,Werkzeug,werkzeug,==3.1.6,,DECLARED_NOT_INSTALLED,,Werkzeug==3.1.6
backend/requirements.txt,BACKEND_MAIN,143,xlrd,xlrd,==2.0.2,,DECLARED_NOT_INSTALLED,,xlrd==2.0.2
backend/requirements.txt,BACKEND_MAIN,144,xlwt,xlwt,==1.3.0,,DECLARED_NOT_INSTALLED,,xlwt==1.3.0
backend/requirements.txt,BACKEND_MAIN,145,yarl,yarl,==1.23.0,,DECLARED_NOT_INSTALLED,,yarl==1.23.0
backend/requirements.txt,BACKEND_MAIN,146,zipp,zipp,==3.23.0,,DECLARED_NOT_INSTALLED,,zipp==3.23.0
backend/scripts/paquete_piloto_sync_agent/requirements.txt,PILOT_PACKAGE,4,pymssql,pymssql,>=2.2.0,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,pymssql>=2.2.0
backend/scripts/paquete_piloto_sync_agent/requirements.txt,PILOT_PACKAGE,5,requests,requests,>=2.28.0,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,requests>=2.28.0
backend/scripts/paquete_piloto_sync_agent/requirements.txt,PILOT_PACKAGE,6,pyyaml,pyyaml,>=6.0,,SECONDARY_COMPONENT:DECLARED_NOT_INSTALLED,,pyyaml>=6.0
