area,archivo,linea,riesgo,es_gate,contexto_rol,usa_helper,patron,codigo
backend,backend/server.py,2047,ALTO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"if current_user['role'] not in ['SuperAdministrador', 'Administrador']:"
backend,backend/server.py,14348,ALTO,SI,SI,NO,nombre_legacy:Administrador|Supervisor,"if user_role in ['Supervisor', 'Administrador']:"
backend,backend/server.py,14377,ALTO,SI,SI,NO,nombre_legacy:Administrador|Supervisor,"if user_role in ['Supervisor', 'Administrador']:"
backend,backend/core/auth/user_repository_sql.py,554,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"- role (opcional, default='Usuario')"
backend,backend/core/auth/user_repository_sql.py,571,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role = user_data.get('role', 'Usuario')"
backend,backend/core/inventory_analysis_core.py,135,MEDIO,NO,SI,NO,nombre_legacy:Administrador,"""role"": ""Administrador"","
backend,backend/core/rbac/middleware.py,315,MEDIO,NO,SI,SI,nombre_legacy:Administrador,"""es_admin"": user.get(""role"") == ""Administrador"","
backend,backend/core/rbac/service.py,49,MEDIO,NO,SI,NO,nombre_legacy:Visor,"""Visor"": ""OPERADOR"",                  # Sin rol específico -> OPERADOR"
backend,backend/modules/auth/repository.py,135,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role = user.get(""NombreRol"") or user.get(""CodigoRol"") or ""Usuario"""
backend,backend/modules/auth/routes.py,129,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role = user_data.get(""role"", ""Usuario"")"
backend,backend/modules/auth/routes.py,294,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role = user_data.get(""role"", ""Usuario"")"
backend,backend/modules/auth/routes.py,516,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador'] or"
backend,backend/modules/auth/routes.py,536,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador'] or"
backend,backend/modules/auth/routes.py,541,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador']"
backend,backend/modules/auth/routes.py,545,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador'] or"
backend,backend/modules/auth/routes.py,550,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador']"
backend,backend/modules/auth/routes.py,554,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador'] or"
backend,backend/modules/auth/routes.py,560,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador', 'Director']"
backend,backend/modules/auth/routes.py,564,MEDIO,NO,SI,NO,nombre_legacy:Administrador,current_user.get('role') == 'Administrador'
backend,backend/modules/auth/routes.py,568,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador'] or"
backend,backend/modules/auth/routes.py,573,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador', 'Gerente', 'Director', 'Auditor']"
backend,backend/modules/auth/routes.py,577,MEDIO,NO,SI,NO,nombre_legacy:Administrador,current_user.get('role') == 'Administrador'
backend,backend/modules/auth/routes.py,581,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador']"
backend,backend/modules/auth/routes.py,585,MEDIO,NO,SI,NO,nombre_legacy:Administrador,current_user.get('role') == 'Administrador'
backend,backend/modules/auth/routes.py,589,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"current_user.get('role') in ['Supervisor', 'Administrador']"
backend,backend/modules/auth/routes.py,593,MEDIO,NO,SI,NO,nombre_legacy:Administrador,current_user.get('role') == 'Administrador' or
backend,backend/modules/auth/routes.py,631,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role: str (opcional, default 'Usuario')"
backend,backend/modules/auth/service.py,163,MEDIO,NO,SI,NO,nombre_legacy:SuperAdministrador,"'SuperAdministrador': 100,  # Rol máximo del sistema"
backend,backend/modules/auth/service.py,568,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role = user_data.get('role', 'Usuario')"
backend,backend/server.py,3302,MEDIO,NO,SI,NO,nombre_legacy:SuperAdministrador|Administrador,"user_role in ['SuperAdministrador', 'Administrador']"
frontend,frontend/src/components/GestionSolicitudesCatalogo.jsx,44,MEDIO,NO,SI,NO,nombre_legacy:Usuario,const userRole = user.role || 'Usuario';
frontend,frontend/src/components/GestionSolicitudesCatalogo.jsx,110,MEDIO,SI,SI,NO,nombre_legacy:Administrador|Supervisor,if (userRole === 'Supervisor' || userRole === 'Administrador') {
frontend,frontend/src/components/GestionSolicitudesCatalogo.jsx,117,MEDIO,SI,SI,NO,nombre_legacy:Administrador,if (userRole === 'Administrador') {
frontend,frontend/src/components/PropinasTPV.jsx,320,MEDIO,SI,SI,NO,nombre_legacy:Administrador,"return ['admin', 'superadmin', 'Admin', 'Administrador'].includes(userRole);"
frontend,frontend/src/components/TabOperativasCompras.jsx,91,MEDIO,NO,SI,NO,nombre_legacy:Administrador,"const isGerencia = ['Gerente', 'Director', 'Administrador'].includes(userRole);"
frontend,frontend/src/components/TabOperativasCompras.jsx,92,MEDIO,NO,SI,NO,nombre_legacy:Administrador,"const isTesoreria = ['Tesoreria', 'Director', 'Administrador'].includes(userRole);"
frontend,frontend/src/contexts/AuthContext.jsx,77,MEDIO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,if (isPreviewMode() && (serverUser.role === 'SuperAdministrador' || serverUser.role === 'Administrador')) {
frontend,frontend/src/contexts/AuthContext.jsx,145,MEDIO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,if (isPreviewMode() && (userData.role === 'SuperAdministrador' || userData.role === 'Administrador')) {
frontend,frontend/src/contexts/AuthContext.jsx,211,MEDIO,SI,SI,NO,nombre_legacy:SuperAdministrador|Administrador,return user?.role === 'Administrador' || user?.role === 'admin' || user?.role === 'SuperAdministrador';
frontend,frontend/src/pages/AuditoriasProgramadas.jsx,211,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"ver: ['Administrador', 'Supervisor', 'Gerente', 'Director', 'Auditor'].includes(user?.role),"
frontend,frontend/src/pages/AuditoriasProgramadas.jsx,212,MEDIO,NO,SI,NO,nombre_legacy:Administrador,"programar: ['Administrador', 'Gerente', 'Director'].includes(user?.role),"
frontend,frontend/src/pages/AuditoriasProgramadas.jsx,213,MEDIO,NO,SI,NO,nombre_legacy:Administrador,"gestionar: ['Administrador', 'Director'].includes(user?.role),"
frontend,frontend/src/pages/Compras.js,1596,MEDIO,NO,SI,NO,nombre_legacy:Administrador,const puedeEditarDiasObjetivo = currentUser?.role === 'admin' || currentUser?.role === 'Administrador' || currentUser?.role === 'gerente' || currentUser?.permisos?.includes('editar_dias_inventario');
frontend,frontend/src/pages/ConfigAsignaciones.jsx,147,MEDIO,NO,SI,NO,nombre_legacy:SuperAdministrador,const isSuperAdmin = userRole === 'SuperAdministrador';
frontend,frontend/src/pages/ExploradorBD.js,893,MEDIO,NO,SI,NO,nombre_legacy:Administrador,setIsAdmin(user.rol === 'Administrador' || user.email === 'admin@inventario.com' || user.role === 'Administrador');
frontend,frontend/src/pages/ExploradorBD.js,1049,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"'Usuario': ['usuario', 'user', 'empleado', 'personal', 'rrhh', 'nomina', 'colaborador', 'login', 'sesion', 'rol', 'permiso'],"
frontend,frontend/src/pages/Finanzas.js,93,MEDIO,NO,SI,NO,nombre_legacy:Administrador,const isAdmin = user?.role === 'Administrador';
frontend,frontend/src/pages/Layout.js,172,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"tablero_ejecutivo: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,177,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"finanzas: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,178,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"produccion: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,179,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"recursos_humanos: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,180,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"reportes_bi: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,181,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"catalogos: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,182,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"centro_control: isAdmin || role === 'Supervisor' || role === 'Director',"
frontend,frontend/src/pages/Layout.js,184,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"programacion: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,185,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"automatizaciones: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,187,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"catalogo_sql: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,189,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"alertas: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,192,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"pos_generico: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,193,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"comandero: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,194,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"edarsa_go: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/Layout.js,195,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"chef_ia: isAdmin || role === 'Supervisor',"
frontend,frontend/src/pages/MisTareas.js,119,MEDIO,NO,SI,NO,nombre_legacy:Administrador,const isAdmin = currentUser?.role === 'Administrador';
frontend,frontend/src/pages/MisTareas.js,120,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,const isSupervisor = currentUser?.role === 'Supervisor';
frontend,frontend/src/pages/Nominas.js,101,MEDIO,NO,SI,NO,nombre_legacy:Administrador,const isAdmin = currentUser?.role === 'Administrador';
frontend,frontend/src/pages/Nominas.js,102,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,const isSupervisor = currentUser?.role === 'Supervisor';
frontend,frontend/src/pages/RecursosHumanos.js,71,MEDIO,NO,SI,NO,nombre_legacy:Administrador,const isAdmin = currentUser?.role === 'Administrador' || currentUser?.role === 'admin';
frontend,frontend/src/pages/RecursosHumanos.js,72,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,const isSupervisor = currentUser?.role === 'Supervisor';
frontend,frontend/src/pages/Scheduler.jsx,219,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"canView: ['Administrador', 'Supervisor', 'Gerente', 'Director', 'Auditor'].includes(user?.role),"
frontend,frontend/src/pages/Scheduler.jsx,220,MEDIO,NO,SI,NO,nombre_legacy:Administrador|Supervisor,"canManage: ['Administrador', 'Supervisor', 'Gerente', 'Director'].includes(user?.role),"
frontend,frontend/src/pages/Scheduler.jsx,221,MEDIO,NO,SI,NO,nombre_legacy:Administrador,"canAdmin: ['Administrador', 'Director'].includes(user?.role),"
frontend,frontend/src/pages/Usuarios.js,94,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role: 'Usuario',"
frontend,frontend/src/pages/Usuarios.js,550,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"role: 'Usuario',"
frontend,frontend/src/pages/Usuarios.js,1222,MEDIO,NO,SI,NO,nombre_legacy:Administrador,"{role.nombre === 'Administrador' ? <Shield className=""h-5 w-5 text-red-600"" /> :"
frontend,frontend/src/pages/Usuarios.js,1223,MEDIO,NO,SI,NO,nombre_legacy:Supervisor,"role.nombre === 'Supervisor' ? <Eye className=""h-5 w-5 text-blue-600"" /> :"
frontend,frontend/src/portal-inteligencia/App.jsx,191,MEDIO,NO,SI,NO,nombre_legacy:Usuario,"<p className=""text-xs font-medium text-white truncate"">{user?.nombre || 'Usuario'}</p>"
frontend,frontend/src/portal-inteligencia/App.jsx,219,MEDIO,NO,SI,NO,nombre_legacy:Usuario,<span>{user?.email || 'Usuario'}</span>
backend,backend/api/admin_cache.py,242,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador|Administrador,"CACHE_ADMIN_ROLES = ['SuperAdministrador', 'Administrador']"
backend,backend/api/catalogos_sistemas.py,86,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador|Administrador|Supervisor,"allowed_roles = ['SuperAdministrador', 'Administrador', 'Gerente', 'Supervisor']"
backend,backend/core/auth/user_repository_sql.py,143,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador,"'SUPERADMIN': 'SuperAdministrador',"
backend,backend/core/auth/user_repository_sql.py,144,BAJO,NO,NO,NO,nombre_legacy:Administrador,"'ADMIN': 'Administrador',"
backend,backend/core/auth/user_repository_sql.py,145,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"'SUPERVISOR': 'Supervisor',"
backend,backend/core/auth/user_repository_sql.py,146,BAJO,NO,NO,NO,nombre_legacy:Usuario,"'USUARIO': 'Usuario',"
backend,backend/core/auth/user_repository_sql.py,147,BAJO,NO,NO,NO,nombre_legacy:Visor,"'VISOR': 'Visor',"
backend,backend/core/auth/user_repository_sql.py,584,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador,"'SuperAdministrador': 'SUPERADMIN',"
backend,backend/core/auth/user_repository_sql.py,585,BAJO,NO,NO,NO,nombre_legacy:Administrador,"'Administrador': 'ADMIN',"
backend,backend/core/auth/user_repository_sql.py,586,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"'Supervisor': 'SUPERVISOR',"
backend,backend/core/auth/user_repository_sql.py,587,BAJO,NO,NO,NO,nombre_legacy:Usuario,"'Usuario': 'USUARIO',"
backend,backend/core/auth/user_repository_sql.py,588,BAJO,NO,NO,NO,nombre_legacy:Visor,"'Visor': 'VISOR',"
backend,backend/core/auth/user_repository_sql.py,746,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador,"'SuperAdministrador': 'SUPERADMIN',"
backend,backend/core/auth/user_repository_sql.py,747,BAJO,NO,NO,NO,nombre_legacy:Administrador,"'Administrador': 'ADMIN',"
backend,backend/core/auth/user_repository_sql.py,748,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"'Supervisor': 'SUPERVISOR',"
backend,backend/core/auth/user_repository_sql.py,749,BAJO,NO,NO,NO,nombre_legacy:Usuario,"'Usuario': 'USUARIO',"
backend,backend/core/auth/user_repository_sql.py,750,BAJO,NO,NO,NO,nombre_legacy:Visor,"'Visor': 'VISOR',"
backend,backend/core/cerebro.py,38,BAJO,NO,NO,NO,nombre_legacy:Administrador,"ADMINISTRADOR = ""Administrador"""
backend,backend/core/cerebro.py,39,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"SUPERVISOR = ""Supervisor"""
backend,backend/core/cerebro.py,40,BAJO,NO,NO,NO,nombre_legacy:Usuario,"USUARIO = ""Usuario"""
backend,backend/core/rbac/service.py,42,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador,"""SuperAdministrador"": ""SUPERADMIN"",   # Nivel 100, acceso total"
backend,backend/core/rbac/service.py,43,BAJO,NO,NO,NO,nombre_legacy:Administrador,"""Administrador"": ""SUPERADMIN"",        # Administrador completo -> SUPERADMIN"
backend,backend/core/rbac/service.py,44,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"""Supervisor"": ""SUPERVISOR"",           # Nivel 50"
backend,backend/core/rbac/service.py,45,BAJO,NO,NO,NO,nombre_legacy:Usuario,"""Usuario"": ""OPERADOR"",                # Nivel 20"
backend,backend/core/rbac/service.py,125,BAJO,SI,NO,NO,nombre_legacy:SuperAdministrador|Administrador,"if user_role_legacy in (""SuperAdministrador"", ""Administrador""):"
backend,backend/core/rbac_helper_sql.py,140,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador|Dirección,"Set con nombres de roles (ej: {'SuperAdministrador', 'Dirección'})"
backend,backend/core/rbac_helper_sql.py,282,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador|Administrador,"['SuperAdministrador','Administrador'] y '== Administrador' (este último"
backend,backend/core/rbac_helper_sql.py,289,BAJO,NO,NO,NO,nombre_legacy:Administrador|Supervisor,"legacy ['Administrador','Supervisor'] (ahora también admite al SUPERADMIN)."""""""
backend,backend/core/security_v2_passive.py,38,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador,"'SuperAdministrador': 'SUPER_ADMIN',"
backend,backend/core/security_v2_passive.py,39,BAJO,NO,NO,NO,nombre_legacy:Administrador,"'Administrador': 'ADMIN',"
backend,backend/core/security_v2_passive.py,40,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"'Supervisor': 'SUPERVISOR',"
backend,backend/core/security_v2_passive.py,41,BAJO,NO,NO,NO,nombre_legacy:Usuario,"'Usuario': 'OPERADOR',"
backend,backend/core/user_access_context.py,363,BAJO,SI,NO,NO,nombre_legacy:SuperAdministrador,if role_legacy == 'SuperAdministrador' or role_upper == 'SUPERADMIN':
backend,backend/core/user_access_context.py,370,BAJO,SI,NO,NO,nombre_legacy:Administrador,if role_legacy == 'Administrador' or role_upper == 'ADMIN':
backend,backend/migrations/auditar_hardcodes_rbac.py,15,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador|Administrador|Supervisor|Usuario|Visor,"NOMBRES = (""SuperAdministrador"", ""Administrador"", ""Supervisor"", ""Usuario"", ""Visor"")"
backend,backend/modules/api_connections/universal_test_routes.py,243,BAJO,SI,SI,NO,nombre_legacy:SuperAdministrador,if user_role == 'SuperAdministrador':
backend,backend/modules/api_connections/universal_test_routes.py,266,BAJO,SI,SI,NO,nombre_legacy:Administrador,if user_role == 'Administrador':
backend,backend/modules/auth/context_service.py,313,BAJO,NO,NO,NO,nombre_legacy:Usuario,rol_nombre = rol_info['nombre'] if rol_info else 'Usuario'
backend,backend/modules/auth/context_service.py,398,BAJO,NO,NO,NO,nombre_legacy:Usuario,rol_nombre = rol_info['nombre'] if rol_info else 'Usuario'
backend,backend/modules/auth/repository.py,128,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador,"# compara mayoritariamente contra el NombreRol legacy ('SuperAdministrador',"
backend,backend/modules/auth/repository.py,129,BAJO,NO,NO,NO,nombre_legacy:Administrador,"# 'Administrador', ...). La migración SQL-First había expuesto el CodigoRol"
backend,backend/modules/auth/schemas.py,21,BAJO,NO,NO,NO,nombre_legacy:Administrador|Supervisor|Usuario,"name: str  # ""Administrador"", ""Supervisor"", ""Usuario"""
backend,backend/modules/auth/schemas.py,134,BAJO,NO,NO,NO,nombre_legacy:Administrador,"""nombre"": ""Administrador"","
backend,backend/modules/auth/schemas.py,140,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"""nombre"": ""Supervisor"","
backend,backend/modules/auth/schemas.py,146,BAJO,NO,NO,NO,nombre_legacy:Usuario,"""nombre"": ""Usuario"","
backend,backend/modules/auth/service.py,155,BAJO,NO,NO,NO,nombre_legacy:SuperAdministrador,# sistema legacy usaba NombreRol (ej. 'SuperAdministrador'). Mapeamos AMBOS a la
backend,backend/modules/auth/service.py,160,BAJO,NO,NO,NO,nombre_legacy:Usuario,"'Usuario': 1,"
backend,backend/modules/auth/service.py,161,BAJO,NO,NO,NO,nombre_legacy:Supervisor,"'Supervisor': 2,"
backend,backend/modules/auth/service.py,162,BAJO,NO,NO,NO,nombre_legacy:Administrador,"'Administrador': 3,"
