archivo,linea,riesgo,patrones,codigo
/app/backend/server.py,12037,BAJO,"SuperAdministrador, Administrador","detail=""Solo SuperAdministrador puede ejecutar scripts SQL completos. """
/app/backend/server.py,12099,BAJO,Usuario,"logging.info(f""[SCRIPT SQL] Usuario {current_user.get('email')} ejecutando {len(statements)} comandos en {conn_info['name']}"")"
/app/backend/server.py,13145,BAJO,Usuario,"logging.info(f""[SCRIPT CON CREDS] Usuario {current_user.get('email')} ejecutando {len(statements)} comandos en {server['name']} con credenciales de {admin_username}"")"
/app/backend/server.py,13223,BAJO,Usuario,"raise HTTPException(status_code=401, detail=f""Error de autenticación: Usuario o contraseña incorrectos"")"
/app/backend/server.py,14123,BAJO,Administrador,Solo accesible para Administradores.
/app/backend/server.py,14125,ALTO,Administrador,"if current_user.get(""role"") != ""Administrador"":"
/app/backend/server.py,14151,BAJO,Administrador,Solo accesible para Administradores. Usar con precaución.
/app/backend/server.py,14153,ALTO,Administrador,"if current_user.get(""role"") != ""Administrador"":"
/app/backend/server.py,14348,ALTO,"Administrador, Supervisor","if user_role in ['Supervisor', 'Administrador']:"
/app/backend/server.py,14363,BAJO,Usuario,"""solicitante"": sol.get(""solicitante_nombre"", ""Usuario""),"
/app/backend/server.py,14377,ALTO,"Administrador, Supervisor","if user_role in ['Supervisor', 'Administrador']:"
/app/backend/server.py,14415,BAJO,Administrador,"""Administrador"": [""headcount"", ""incidencias"", ""validacion_rh"", ""maquilador"", ""autorizacion"", ""tesoreria""],"
/app/backend/server.py,14416,BAJO,Supervisor,"""Supervisor"": [""headcount"", ""incidencias"", ""validacion_rh"", ""autorizacion""],"
/app/backend/server.py,14577,BAJO,"Administrador, Supervisor","""Gerencia"": [""Administrador"", ""Supervisor""],"
/app/backend/server.py,14578,BAJO,"Administrador, Supervisor","""RH"": [""Administrador"", ""Supervisor""],"
/app/backend/server.py,14579,BAJO,"Administrador, Supervisor","""Maquilador"": [""Administrador"", ""Supervisor"", ""Maquilador""],"
/app/backend/server.py,14580,BAJO,Administrador,"""Tesorería"": [""Administrador"", ""Tesoreria""],"
/app/backend/server.py,14581,BAJO,Administrador,"""Sistema"": [""Administrador""]"
/app/backend/server.py,14998,BAJO,Administrador,"raise HTTPException(status_code=403, detail=""Solo Administradores pueden configurar nóminas"")"
/app/backend/server.py,15038,BAJO,Administrador,"raise HTTPException(status_code=403, detail=""Solo Administradores pueden configurar KPIs"")"
/app/backend/server.py,15201,BAJO,"ADMIN, USUARIO, VISOR","ROLES_FASE_11_WHITELIST = [""VISOR_ESTRUCTURA"", ""VISOR_SISTEMA"", ""VISOR_ADMIN"", ""ADMIN_USUARIOS"", ""GESTOR_SISTEMA""]"
/app/backend/server.py,15349,BAJO,USUARIO,"""SISTEMA_USUARIOS_VER"","
/app/backend/server.py,15350,BAJO,USUARIO,"""SISTEMA_USUARIOS_EDITAR"","
/app/backend/server.py,15351,BAJO,USUARIO,"""SISTEMA_USUARIOS_ELIMINAR"","
/app/backend/server.py,15414,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede administrar permisos"")"
/app/backend/server.py,15479,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede administrar roles"")"
/app/backend/server.py,15499,BAJO,"SuperAdministrador, Administrador",Acceso: Solo SuperAdministrador
/app/backend/server.py,15516,BAJO,"SuperAdministrador, Administrador","detail=""Solo SuperAdministrador puede acceder a la bitácora RBAC"""
/app/backend/server.py,15586,BAJO,"SuperAdministrador, Administrador",Acceso: Solo SuperAdministrador
/app/backend/server.py,15592,BAJO,"SuperAdministrador, Administrador","detail=""Solo SuperAdministrador puede acceder a la bitácora RBAC"""
/app/backend/server.py,15623,BAJO,VISOR,"""PERFIL_VISOR_BASICO"","
/app/backend/server.py,15624,BAJO,VISOR,"""PERFIL_VISOR_SISTEMA"","
/app/backend/server.py,15625,BAJO,VISOR,"""PERFIL_VISOR_COMPLETO"","
/app/backend/server.py,15626,BAJO,"ADMIN, USUARIO","""PERFIL_ADMIN_USUARIOS"","
/app/backend/server.py,15635,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede ver perfiles"")"
/app/backend/server.py,15651,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede asignar perfiles"")"
/app/backend/server.py,15670,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede retirar perfiles"")"
/app/backend/server.py,15681,BAJO,"SuperAdministrador, Administrador",Acceso: Solo SuperAdministrador
/app/backend/server.py,15684,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede consultar alcance"")"
/app/backend/server.py,15702,BAJO,"SuperAdministrador, Administrador",Acceso: Solo SuperAdministrador
/app/backend/server.py,15705,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede consultar alcance"")"
/app/backend/server.py,15727,BAJO,"SuperAdministrador, Administrador",Acceso: Solo SuperAdministrador
/app/backend/server.py,15730,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede consultar alcance"")"
/app/backend/server.py,15769,BAJO,"SuperAdministrador, Administrador",Acceso: Solo SuperAdministrador
/app/backend/server.py,15773,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede asignar alcance"")"
/app/backend/server.py,15785,BAJO,Usuario,"raise HTTPException(status_code=404, detail=f""Usuario {request.usuario_email} no encontrado"")"
/app/backend/server.py,15792,BAJO,Usuario,"detail=f""Usuario no tiene el rol {request.rol}. Roles actuales: {sec_roles}"""
/app/backend/server.py,15867,BAJO,"SuperAdministrador, Administrador",Acceso: Solo SuperAdministrador
/app/backend/server.py,15871,BAJO,"SuperAdministrador, Administrador","raise HTTPException(status_code=403, detail=""Solo SuperAdministrador puede retirar alcance"")"
/app/backend/server.py,15876,BAJO,Usuario,"raise HTTPException(status_code=404, detail=f""Usuario {request.usuario_email} no encontrado"")"
/app/backend/server.py,16070,BAJO,"SuperAdministrador, Administrador",FASE 4D: Valida que solo SuperAdministrador acceda a /api/admin/core-connections.
/app/backend/server.py,16100,BAJO,"Usuario, ADMIN","f""[CORE_ADMIN][PERMISSION_DENIED] Usuario {payload.get('email')} """
/app/backend/server.py,16106,BAJO,"SuperAdministrador, Administrador","content={""detail"": ""Solo SuperAdministrador puede administrar conexiones CORE""}"
/app/backend/server.py,16110,BAJO,"SuperAdministrador, Administrador, ADMIN","logger.info(f""[CORE_ADMIN][ACCESS] SuperAdministrador {payload.get('email')} accediendo a {request.url.path}"")"
/app/backend/server.py,16113,BAJO,ADMIN,"logger.error(f""[CORE_ADMIN][AUTH_ERROR] {type(e).__name__}: {str(e)[:100]}"")"
/app/backend/tests_guardrails/test_p4_rbac_sql_runtime_ready.py,11,BAJO,Usuario,"""RBAC_UsuariosRoles"","
/app/backend/tests_guardrails/test_p4_rbac_sql_runtime_ready.py,12,BAJO,Usuario,"""RBAC_UsuariosEmpresas"","
/app/backend/tests_guardrails/test_p4_rbac_sql_runtime_ready.py,13,BAJO,Usuario,"""RBAC_UsuariosUnidadesNegocio"","
/app/backend/tests_guardrails/test_p4_rbac_sql_runtime_ready.py,14,BAJO,Usuario,"""RBAC_UsuariosSucursales"","
/app/backend/tests_guardrails/test_p4_roles_canonicos_usuario_roles.py,7,BAJO,Usuario,"""Usuario_Roles"","
/app/backend/tests_guardrails/test_p4_roles_canonicos_usuario_roles.py,8,BAJO,Usuario,"""Usuario_RolesAsignacion"","
/app/backend/tests_guardrails/test_p4_roles_canonicos_usuario_roles.py,9,BAJO,Usuario,"""Usuario_EmpresasAsignacion"","
/app/backend/tests_guardrails/test_p4_roles_canonicos_usuario_roles.py,10,BAJO,Usuario,"""Usuario_SucursalesAsignacion"","
/app/backend/tests_guardrails/test_p4_roles_canonicos_usuario_roles.py,11,BAJO,Usuario,"""Usuario_ServidoresAsignacion"","
/app/backend/tests_guardrails/test_p4_roles_canonicos_usuario_roles.py,29,BAJO,Usuario,"print(""PASS roles canónicos usan Usuario_Roles y asignaciones Usuario_*"")"
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,7,BAJO,Usuario,"""Usuario_RolesAsignacion"","
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,8,BAJO,Usuario,"""Usuario_EmpresasAsignacion"","
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,9,BAJO,Usuario,"""Usuario_SucursalesAsignacion"","
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,18,BAJO,Usuario,"""FROM dbo.RBAC_UsuariosRoles"","
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,19,BAJO,Usuario,"""FROM dbo.RBAC_UsuariosEmpresas"","
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,20,BAJO,Usuario,"""FROM dbo.RBAC_UsuariosUnidadesNegocio"","
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,21,BAJO,Usuario,"""FROM dbo.RBAC_UsuariosSucursales"","
/app/backend/tests_guardrails/test_p4_rbac_usa_usuario_canonico.py,27,BAJO,Usuario,"print(""PASS RBAC runtime usa Usuario_* canónico"")"
/app/backend/tests_guardrails/test_p4_rbac_empresa_unidad_sucursal_sql.py,10,BAJO,Usuario,"""RBAC_UsuariosRoles"","
/app/backend/tests_guardrails/test_p4_rbac_empresa_unidad_sucursal_sql.py,11,BAJO,Usuario,"""RBAC_UsuariosEmpresas"","
/app/backend/tests_guardrails/test_p4_rbac_empresa_unidad_sucursal_sql.py,12,BAJO,Usuario,"""RBAC_UsuariosUnidadesNegocio"","
/app/backend/tests_guardrails/test_p4_rbac_empresa_unidad_sucursal_sql.py,13,BAJO,Usuario,"""RBAC_UsuariosSucursales"","
/app/backend/modules/catalogos_workflow_compat/routes.py,30,BAJO,Usuario,"user_id = current_user.get(""UsuarioID"") or current_user.get(""_sql_usuario_id"") or current_user.get(""id"")"
/app/backend/modules/catalogos_workflow_compat/routes.py,94,BAJO,Usuario,"user_id = current_user.get(""UsuarioID"") or current_user.get(""_sql_usuario_id"") or current_user.get(""id"")"
/app/backend/modules/comercial/routes_precios_sugeridos.py,122,BAJO,Usuario,"usuario: str = Query(..., description=""Usuario que crea el rango"")"
/app/backend/modules/comercial/routes_precios_sugeridos.py,148,BAJO,Usuario,"usuario: str = Query(..., description=""Usuario que modifica el rango"")"
/app/backend/modules/comercial/routes_precios_sugeridos.py,175,BAJO,Usuario,"usuario: str = Query(..., description=""Usuario que desactiva el rango"")"
/app/backend/modules/comercial/routes_precios_sugeridos.py,193,BAJO,Usuario,"usuario: str = Query(..., description=""Usuario que activa el rango"")"
/app/backend/modules/comercial/crm_router.py,20,BAJO,Usuario,UsuarioPropietarioID: int
/app/backend/modules/comercial/crm_router.py,24,BAJO,Usuario,UsuarioSolicitanteID: int
/app/backend/modules/comercial/crm_router.py,39,BAJO,Usuario,"INSERT INTO CRM_Cuentas (NombreComercial, RazonSocial, RFC, EmailContacto, TelefonoContacto, UsuarioPropietarioID)"
/app/backend/modules/comercial/crm_router.py,45,BAJO,Usuario,"cuenta.EmailContacto, cuenta.TelefonoContacto, cuenta.UsuarioPropietarioID"
/app/backend/modules/comercial/crm_router.py,71,BAJO,Usuario,"INSERT INTO CRM_ClientesSolicitudesAlta (CuentaID, UsuarioSolicitanteID)"
/app/backend/modules/comercial/crm_router.py,75,BAJO,Usuario,"params = (solicitud.CuentaID, solicitud.UsuarioSolicitanteID)"
/app/backend/modules/comercial/crm_router.py,93,BAJO,Usuario,UsuarioAsignadoID: int
/app/backend/modules/comercial/crm_router.py,98,BAJO,Usuario,UsuarioModificadorID: int
/app/backend/modules/comercial/crm_router.py,110,BAJO,Usuario,WHERE UsuarioAsignadoID = %s
/app/backend/modules/comercial/crm_router.py,119,BAJO,Usuario,"INSERT INTO dbo.CRM_Actividades (CuentaID, TipoActividad, Asunto, NotasInteraccion, UsuarioAsignadoID, FechaProgramada)"
/app/backend/modules/comercial/crm_router.py,125,BAJO,Usuario,"actividad.NotasInteraccion, actividad.UsuarioAsignadoID, actividad.FechaProgramada"
/app/backend/modules/comercial/crm_router.py,153,BAJO,Usuario,"INSERT INTO dbo.CRM_ActividadesHistorial (ActividadID, EstatusAnterior, EstatusNuevo, UsuarioModificadorID, Comentario)"
/app/backend/modules/comercial/crm_router.py,156,BAJO,Usuario,"execute_hub_query(query_historial, (actividad_id, estatus_anterior, update_data.EstatusNuevo, update_data.UsuarioModificadorID, update_data.Comentario))"
/app/backend/modules/comercial/crm_router.py,170,BAJO,Usuario,UsuarioCreadorID: int
/app/backend/modules/comercial/crm_router.py,209,BAJO,Usuario,"INSERT INTO dbo.Venta_Cotizaciones (CuentaID, FolioCotizacion, Version, Subtotal, Impuesto, Total, Moneda, TipoCambio, UsuarioCreadorID, Estatus)"
/app/backend/modules/comercial/crm_router.py,215,BAJO,Usuario,"cotizacion.Moneda, cotizacion.TipoCambio, cotizacion.UsuarioCreadorID"
/app/backend/modules/comercial/crm_router.py,247,BAJO,Usuario,UsuarioProcesadorID: int
/app/backend/modules/comercial/crm_router.py,278,BAJO,Usuario,"INSERT INTO dbo.Venta_Pedidos (CuentaID, FolioPedido, Subtotal, Impuesto, Total, Moneda, TipoCambio, UsuarioCreadorID, Estatus)"
/app/backend/modules/comercial/crm_router.py,284,BAJO,Usuario,"cot[0][""Total""], cot[0][""Moneda""], cot[0][""TipoCambio""], payload.UsuarioProcesadorID"
/app/backend/modules/comercial/crm_router.py,321,BAJO,Usuario,UsuarioLiderID: int
/app/backend/modules/comercial/crm_router.py,326,BAJO,Usuario,UsuarioAprobadorID: int
/app/backend/modules/comercial/crm_router.py,345,BAJO,Usuario,"INSERT INTO dbo.CRM_Implementaciones (PedidoID, CuentaID, NombreProyecto, Estatus, UsuarioLiderID, ProgresoPorcentaje, FechaKickoff)"
/app/backend/modules/comercial/crm_router.py,349,BAJO,Usuario,"params = (proyecto.PedidoID, proyecto.CuentaID, proyecto.NombreProyecto, proyecto.UsuarioLiderID)"
/app/backend/modules/comercial/crm_router.py,376,BAJO,Usuario,"SET Estatus = %s, FechaAprobacion = CASE WHEN %s = 'Aprobado' THEN GETDATE() ELSE NULL END, UsuarioAprobadorID = %s"
/app/backend/modules/comercial/crm_router.py,379,BAJO,Usuario,"execute_hub_query(query_update, (payload.EstatusNuevo, payload.EstatusNuevo, payload.UsuarioAprobadorID, entregable_id))"
/app/backend/modules/comercial/crm_router.py,538,BAJO,Usuario,WHERE UsuarioAsignadoID = %s AND Etapa = 'Ganado' AND MONTH(FechaModificacion) = %s AND YEAR(FechaModificacion) = %s
/app/backend/modules/comercial/crm_router.py,548,BAJO,Usuario,"query_act = ""SELECT COUNT(*) as Conteo FROM dbo.CRM_Actividades WHERE UsuarioAsignadoID = %s AND Estatus = 'Completada'"""
/app/backend/modules/comercial/crm_router.py,601,BAJO,Visor,Fase 15 - Parte 2: Visor de Backlog ERP.
/app/backend/modules/comercial/inteligencia_comercial_routes.py,109,BAJO,Usuario,"raise HTTPException(status_code=401, detail=""Usuario no autenticado"")"
/app/backend/modules/comercial/inteligencia_comercial_routes.py,113,MEDIO,"SUPERADMIN, ADMIN","if role in {""SUPERADMIN"", ""SUPERADMINISTRADOR"", ""ADMIN"", ""ADMINISTRADOR""}:"
/app/backend/modules/comercial/inteligencia_comercial_routes.py,121,MEDIO,ADMIN,"if permissions and permission.upper() not in permissions and ""INTELIGENCIA_COMERCIAL_ADMIN"" not in permissions:"
/app/backend/modules/comercial/alertas_margen_service.py,186,BAJO,Usuario,creado_por: Usuario que crea
/app/backend/modules/comercial/alertas_margen_service.py,263,BAJO,Usuario,modificado_por: Usuario que modifica
/app/backend/modules/comercial/alertas_margen_service.py,312,BAJO,Usuario,modificado_por: Usuario que desactiva
/app/backend/modules/comercial/alertas_margen_repository.py,355,BAJO,Usuario,creado_por: Usuario que crea
/app/backend/modules/comercial/alertas_margen_repository.py,451,BAJO,Usuario,modificado_por: Usuario que modifica
/app/backend/modules/comercial/alertas_margen_repository.py,501,BAJO,Usuario,modificado_por: Usuario que desactiva
/app/backend/modules/comercial/routes.py,309,BAJO,Usuario,current_user: Usuario autenticado
/app/backend/modules/comercial/routes.py,327,BAJO,Usuario,"f""[RBAC-DENEGADO] Usuario {current_user.get('email')} """
/app/backend/modules/comercial/routes.py,347,BAJO,Usuario,"f""[RBAC-DENEGADO] Usuario {current_user.get('email')} """
/app/backend/modules/comercial/routes.py,836,BAJO,Usuario,"f""[RBAC] Usuario {current_user.get('email')}: """
/app/backend/modules/comercial/routes.py,841,BAJO,Usuario,"logging.info(f""[RBAC] Usuario {current_user.get('email')}: Acceso global - todos los servidores"")"
/app/backend/modules/comercial/routes.py,3475,BAJO,Usuario,"UsuarioModificacion,"
/app/backend/modules/comercial/routes.py,3507,BAJO,Usuario,"""usuario_modificacion"": r.get(""UsuarioModificacion""),"
/app/backend/modules/comercial/services/competidores_service.py,80,BAJO,Usuario,"usuario_creacion=row.get('UsuarioCreacion'),"
/app/backend/modules/comercial/services/competidores_service.py,82,BAJO,Usuario,"usuario_modificacion=row.get('UsuarioModificacion'),"
/app/backend/modules/comercial/services/competidores_service.py,114,BAJO,Usuario,"usuario_creacion=row.get('UsuarioCreacion'),"
/app/backend/modules/comercial/services/competidores_service.py,188,BAJO,Usuario,"c.UsuarioCreacion,"
/app/backend/modules/comercial/services/competidores_service.py,190,BAJO,Usuario,"c.UsuarioModificacion,"
/app/backend/modules/comercial/services/competidores_service.py,243,BAJO,Usuario,"c.UsuarioCreacion,"
/app/backend/modules/comercial/services/competidores_service.py,245,BAJO,Usuario,"c.UsuarioModificacion,"
/app/backend/modules/comercial/services/competidores_service.py,317,BAJO,Usuario,UsuarioCreacion
/app/backend/modules/comercial/services/competidores_service.py,415,BAJO,Usuario,"set_clauses.append(f""UsuarioModificacion = N'{usuario}'"")"
/app/backend/modules/comercial/services/competidores_service.py,451,BAJO,Usuario,UsuarioModificacion = N'{usuario}'
/app/backend/modules/comercial/services/competidores_service.py,514,BAJO,Usuario,"mi.UsuarioCreacion,"
/app/backend/modules/comercial/services/competidores_service.py,554,BAJO,Usuario,"mi.UsuarioCreacion,"
/app/backend/modules/comercial/services/competidores_service.py,602,BAJO,Usuario,UsuarioCreacion
/app/backend/modules/comercial/services/competidores_enterprise_service.py,94,BAJO,Usuario,UsuarioCreacion
/app/backend/modules/comercial/services/competidores_enterprise_service.py,276,BAJO,Usuario,UsuarioCreacion
/app/backend/modules/comercial/services/competidores_enterprise_service.py,322,BAJO,Usuario,UsuarioModificacion = N'{usuario}'
/app/backend/modules/comercial/services/benchmark_service.py,67,BAJO,Usuario,"validado_por_usuario=bool(row.get('ValidadoPorUsuario', False)),"
/app/backend/modules/comercial/services/benchmark_service.py,68,BAJO,Usuario,"usuario_validacion=row.get('UsuarioValidacion'),"
/app/backend/modules/comercial/services/benchmark_service.py,72,BAJO,Usuario,"usuario_creacion=row.get('UsuarioCreacion'),"
/app/backend/modules/comercial/services/benchmark_service.py,74,BAJO,Usuario,"usuario_modificacion=row.get('UsuarioModificacion'),"
/app/backend/modules/comercial/services/benchmark_service.py,113,BAJO,Usuario,"where_clauses.append(f""b.ValidadoPorUsuario = {1 if solo_validados else 0}"")"
/app/backend/modules/comercial/services/benchmark_service.py,141,BAJO,Usuario,"b.ValidadoPorUsuario,"
/app/backend/modules/comercial/services/benchmark_service.py,142,BAJO,Usuario,"b.UsuarioValidacion,"
/app/backend/modules/comercial/services/benchmark_service.py,146,BAJO,Usuario,"b.UsuarioCreacion,"
/app/backend/modules/comercial/services/benchmark_service.py,148,BAJO,Usuario,"b.UsuarioModificacion,"
/app/backend/modules/comercial/services/benchmark_service.py,186,BAJO,Usuario,"b.ValidadoPorUsuario,"
/app/backend/modules/comercial/services/benchmark_service.py,187,BAJO,Usuario,"b.UsuarioValidacion,"
/app/backend/modules/comercial/services/benchmark_service.py,191,BAJO,Usuario,"b.UsuarioCreacion,"
/app/backend/modules/comercial/services/benchmark_service.py,193,BAJO,Usuario,"b.UsuarioModificacion,"
/app/backend/modules/comercial/services/benchmark_service.py,233,BAJO,Usuario,"b.ValidadoPorUsuario,"
/app/backend/modules/comercial/services/benchmark_service.py,234,BAJO,Usuario,"b.UsuarioValidacion,"
/app/backend/modules/comercial/services/benchmark_service.py,238,BAJO,Usuario,"b.UsuarioCreacion,"
/app/backend/modules/comercial/services/benchmark_service.py,240,BAJO,Usuario,"b.UsuarioModificacion,"
/app/backend/modules/comercial/services/benchmark_service.py,283,BAJO,Usuario,"ValidadoPorUsuario,"
/app/backend/modules/comercial/services/benchmark_service.py,286,BAJO,Usuario,UsuarioCreacion
/app/backend/modules/comercial/services/benchmark_service.py,335,BAJO,Usuario,"set_clauses.append(f""ValidadoPorUsuario = {1 if data.validado_por_usuario else 0}"")"
